asset_id,public_id,display_name,asset_folder,resource_type,delivery_type,format,width,height,aspect_ratio,bytes,created_at,secure_url,alt,caption,tags,derived_resource_count,likely_owner,likely_usage_class,audit_status,audit_flags,recommended_action
5bb2677928a5d22d0a63d058f99d4eab,creare-contact-ferko-signature-plaza,CREARE Contact — Ferko Signature Plaza,creare/contact,image,upload,jpg,1200,675,1.7778,85085,2026-07-03T04:31:51Z,https://res.cloudinary.com/djr97wm0n/image/upload/v1783053111/creare-contact-ferko-signature-plaza.jpg,"Ferko Signature Plaza in Şişli, Istanbul, home of CREARE Travel Consultancy Limited Co.","CREARE at Ferko Signature Plaza, Istanbul",brand-owned|contact|creare|ferko-signature-plaza|istanbul|location|office,0,CREARE,ORIGINAL,REVIEW,PUBLIC_ID_INCONSISTENT|REVIEW_USAGE,REVIEW_USAGE
404d29afae9c84f7cf85b982fe119c60,creare-cultural-world-istanbul-image,creare-cultural-world-istanbul-image,,image,upload,jpg,900,1200,0.75,107818,2026-06-04T19:53:17Z,https://res.cloudinary.com/djr97wm0n/image/upload/v1780603200/creare-cultural-world-istanbul-image.jpg,"Editorial image for the CREARE Cultural Worlds collection representing Istanbul as a layered urban civilization where imperial memory, neighborhood life, architectural continuity, and cultural exchange remain visible within the contemporary city.",Istanbul Cultural World — CREARE™,creare|cultural-atlas|cultural-geography|cultural-landscape|cultural-worlds|editorial|galata|galata-tower|historic-city|istanbul|living-heritage|luxury-travel|turkiye|urban-civilization|urban-memory,0,CREARE,ORIGINAL,REVIEW,ROOT_FOLDER|REVIEW_USAGE,REVIEW_USAGE
989f4814524606cf64e564aa16be43eb,creare-cultural-world-bodrum-image,creare-cultural-world-bodrum-image,,image,upload,jpg,900,1200,0.75,197972,2026-06-04T19:47:25Z,https://res.cloudinary.com/djr97wm0n/image/upload/v1780602986/creare-cultural-world-bodrum-image.jpg,"Editorial image for the CREARE Cultural Worlds collection representing Bodrum as a maritime cultural landscape shaped by seafaring traditions, harbor life, layered civilizations, and the enduring relationship between land and sea.","Bodrum — A maritime cultural landscape shaped by harbors, seafaring memory, and Aegean life.",aegean|bodrum|bodrum-castle|coastal-heritage|creare|cultural-geography|cultural-landscape|cultural-worlds|editorial|harbor|luxury-travel|maritime-culture|turkiye,0,CREARE,ORIGINAL,REVIEW,ROOT_FOLDER|REVIEW_USAGE,REVIEW_USAGE
4bdd7c16358bd8175b44aab360b303f7,creare-cultural-world-cappadocia-image,creare-cultural-world-cappadocia-image,,image,upload,jpg,900,1200,0.75,184477,2026-06-04T19:37:22Z,https://res.cloudinary.com/djr97wm0n/image/upload/v1780603019/creare-cultural-world-cappadocia-image.jpg,"Editorial image for the CREARE Cultural Worlds collection representing Cappadocia as a geological civilization of carved stone settlements, cultural continuity, and deep-time landscapes.","Cappadocia — A cultural landscape shaped by volcanic stone, settlement, and memory.",anatolia|cappadocia|civilization|creare|cultural-atlas|cultural-geography|cultural-landscape|cultural-worlds|editorial|heritage|luxury-travel|rock-settlements|turkey|turkiye|volcanic-landscape,0,CREARE,ORIGINAL,REVIEW,ROOT_FOLDER|REVIEW_USAGE,REVIEW_USAGE
f913e97f24574f42cb4b4d63316df0ab,creare-cultural-world-hero-image,creare-cultural-world-hero-image,,image,upload,jpg,10758,2746,3.9177,3751520,2026-06-04T18:11:05Z,https://res.cloudinary.com/djr97wm0n/image/upload/v1780603051/creare-cultural-world-hero-image.jpg,Atmospheric mountain panorama symbolizing the cultural geography of Turkey.,CREARE™ Cultural Worlds,anatolia|atmospheric|cinematic|clouds|creare|cultural-atlas|cultural-tourism|cultural-travel|cultural-worlds|discovery|editorial|exploration|geography|heritage|landscape|luxury-travel|mist|mountain-range|mountains|panorama|turkey,0,CREARE,ORIGINAL,REVIEW,ROOT_FOLDER|VERY_LARGE_ORIGINAL|REVIEW_USAGE,REVIEW_USAGE
7d359ed097ca0ea8957f12e1cbd1d744,creare-experiences-hero-image,creare-experiences-hero-image,,image,upload,jpg,4256,2832,1.5028,724482,2026-06-04T12:59:05Z,https://res.cloudinary.com/djr97wm0n/image/upload/v1780578392/creare-experiences-hero-image.jpg,"Motorcycle expedition across the Anatolian plateau with Mount Ararat rising in the distance, representing exploration, access, and cultural discovery beyond conventional travel routes.",CREARE™ Experiences — Expedition Across Anatolia,adventure travel|agri dagi|anatolia|anatolian|anatolian plateau|anatolian-gastronomy|bespoke travel|creare|creare experiences|cultural discovery|cultural travel|cultural worlds|curated experiences|destination expertise|discovery|editorial travel|expedition|experiential travel|exploration|journey|luxury travel|mount ararat|off the beaten path|private journeys|remote destinations|turkey|Türkiye,0,CREARE,ORIGINAL,REVIEW,ROOT_FOLDER|VERY_LARGE_ORIGINAL|REVIEW_USAGE,REVIEW_USAGE
7c37462558fd6e65ce1b819014636b34,creare-black-approach-image,creare-black-approach-image,,image,upload,jpg,5974,3983,1.4999,1279517,2026-06-04T11:19:06Z,https://res.cloudinary.com/djr97wm0n/image/upload/v1780572561/creare-black-approach-image.jpg,"Ornamental bronze door handle representing invitation-only cultural access, discretion, trust, and private arrangements within the CREARE BLACK™ collection.",CREARE BLACK™ — Private Access,access|architectural detail|black collection|creare|creare-black|cultural access|cultural concierge|curated access|discreet access|door handle|editorial luxury|exclusive experiences|heritage architecture|invitation only|luxury travel|private access|private arrangements|trust,0,CREARE,ORIGINAL,REVIEW,ROOT_FOLDER|VERY_LARGE_ORIGINAL|REVIEW_USAGE,REVIEW_USAGE
904f4b5e58e8ed8c230fa1b7436c204c,creare-lab-approach-image,creare-lab-approach-image,,image,upload,jpg,3649,2433,1.4998,885783,2026-06-04T11:00:38Z,https://res.cloudinary.com/djr97wm0n/image/upload/v1780571707/creare-lab-approach-image.jpg,"A custom experience taking shape through composition, context, and intent.",CREARE LAB™ — Experience Design,bespoke experiences|co-created experiences|corporate hospitality|creare|creare-lab|creative direction|culinary composition|cultural design|curated hospitality|custom experiences|event production|executive events|experience design|gala dinner|luxury hospitality|mice events|private events,0,CREARE,ORIGINAL,REVIEW,ROOT_FOLDER|REVIEW_USAGE,REVIEW_USAGE
3586a4e0523073b516dfd40637207a3c,creare-signature-approach-image,creare-signature-approach-image,,image,upload,jpg,2777,4181,0.6642,833993,2026-06-04T10:45:16Z,https://res.cloudinary.com/djr97wm0n/image/upload/v1780570337/creare-signature-approach-image.jpg,"Representative image for CREARE Signature. Curated cultural experiences shaped around place, heritage, and architectural atmosphere.",Historic courtyard architecture reflecting CREARE Signature experiences.,architectural-heritage|courtyard|creare|creare-signature|cultural-discovery|cultural-travel|cultural-worlds|curated-experiences|editorial-travel|heritage-site|historic-place|mardin|mardin-architecture|middle-east-architecture|place-based-experience|signature|stone-architecture|timeless-destination,0,CREARE,ORIGINAL,REVIEW,ROOT_FOLDER|VERY_LARGE_ORIGINAL|REVIEW_USAGE,REVIEW_USAGE
ba1c61613eeedcbace3cd4fb6a58f820,creare-black-private-access-key,creare-black-private-access-key,,image,upload,jpg,5616,2772,2.026,2115278,2026-06-04T09:43:29Z,https://res.cloudinary.com/djr97wm0n/image/upload/v1780566766/creare-black-private-access-key.jpg,"Antique key representing private access to exclusive cultural experiences, collections, and invitation-only opportunities.",CREARE BLACK™ — Private Access,antique-key|black-collection|creare|creare-black|cultural-access|cultural-authority|curated-experiences|editorial-luxury|exclusive-access|heritage|invitation-only|key|luxury-travel|members-only|private-access|Turkey|Türkiye,0,CREARE,ORIGINAL,REVIEW,ROOT_FOLDER|VERY_LARGE_ORIGINAL|REVIEW_USAGE,REVIEW_USAGE
